datetime,duration,unit,consumption,generation
2023-06-02T05:00:00-05:00,900,Wh,1188,0
2023-06-02T05:15:00-05:00,900,Wh,223,0
2023-06-02T05:30:00-05:00,900,Wh,244,0
2023-06-02T05:45:00-05:00,900,Wh,218,0
2023-06-02T06:00:00-05:00,900,Wh,199,0
2023-06-02T06:15:00-05:00,900,Wh,190,0
2023-06-02T06:30:00-05:00,900,Wh,200,0
2023-06-02T06:45:00-05:00,900,Wh,186,0
2023-06-02T07:00:00-05:00,900,Wh,173,0
2023-06-02T07:15:00-05:00,900,Wh,211,0
2023-06-02T07:30:00-05:00,900,Wh,224,0
2023-06-02T07:45:00-05:00,900,Wh,212,0
2023-06-02T08:00:00-05:00,900,Wh,223,0
2023-06-02T08:15:00-05:00,900,Wh,229,0
2023-06-02T08:30:00-05:00,900,Wh,258,0
2023-06-02T08:45:00-05:00,900,Wh,217,0
2023-06-02T09:00:00-05:00,900,Wh,242,0
2023-06-02T09:15:00-05:00,900,Wh,242,0
2023-06-02T09:30:00-05:00,900,Wh,262,0
2023-06-02T09:45:00-05:00,900,Wh,228,0
2023-06-02T10:00:00-05:00,900,Wh,323,0
2023-06-02T10:15:00-05:00,900,Wh,365,0
2023-06-02T10:30:00-05:00,900,Wh,413,0
2023-06-02T10:45:00-05:00,900,Wh,389,0
2023-06-02T11:00:00-05:00,900,Wh,408,0
2023-06-02T11:15:00-05:00,900,Wh,404,0
2023-06-02T11:30:00-05:00,900,Wh,425,0
2023-06-02T11:45:00-05:00,900,Wh,431,0
2023-06-02T12:00:00-05:00,900,Wh,404,0
2023-06-02T12:15:00-05:00,900,Wh,424,0
2023-06-02T12:30:00-05:00,900,Wh,427,0
2023-06-02T12:45:00-05:00,900,Wh,454,0
2023-06-02T13:00:00-05:00,900,Wh,485,0
2023-06-02T13:15:00-05:00,900,Wh,528,0
2023-06-02T13:30:00-05:00,900,Wh,522,0
2023-06-02T13:45:00-05:00,900,Wh,511,0
2023-06-02T14:00:00-05:00,900,Wh,517,0
2023-06-02T14:15:00-05:00,900,Wh,530,0
2023-06-02T14:30:00-05:00,900,Wh,533,0
2023-06-02T14:45:00-05:00,900,Wh,523,0
2023-06-02T15:00:00-05:00,900,Wh,508,0
2023-06-02T15:15:00-05:00,900,Wh,508,0
2023-06-02T15:30:00-05:00,900,Wh,504,0
2023-06-02T15:45:00-05:00,900,Wh,486,0
2023-06-02T16:00:00-05:00,900,Wh,502,0
2023-06-02T16:15:00-05:00,900,Wh,522,0
2023-06-02T16:30:00-05:00,900,Wh,524,0
2023-06-02T16:45:00-05:00,900,Wh,515,0
2023-06-02T17:00:00-05:00,900,Wh,528,0
2023-06-02T17:15:00-05:00,900,Wh,521,0
2023-06-02T17:30:00-05:00,900,Wh,509,0
2023-06-02T17:45:00-05:00,900,Wh,1196,0
2023-06-02T18:00:00-05:00,900,Wh,1656,0
2023-06-02T18:15:00-05:00,900,Wh,1644,0
2023-06-02T18:30:00-05:00,900,Wh,1619,0
2023-06-02T18:45:00-05:00,900,Wh,1644,0
2023-06-02T19:00:00-05:00,900,Wh,1573,0
2023-06-02T19:15:00-05:00,900,Wh,1576,0
2023-06-02T19:30:00-05:00,900,Wh,1547,0
2023-06-02T19:45:00-05:00,900,Wh,1528,0
2023-06-02T20:00:00-05:00,900,Wh,1513,0
2023-06-02T20:15:00-05:00,900,Wh,1499,0
2023-06-02T20:30:00-05:00,900,Wh,1376,0
2023-06-02T20:45:00-05:00,900,Wh,1358,0
2023-06-02T21:00:00-05:00,900,Wh,1385,0
2023-06-02T21:15:00-05:00,900,Wh,1363,0
2023-06-02T21:30:00-05:00,900,Wh,1327,0
2023-06-02T21:45:00-05:00,900,Wh,1316,0
2023-06-02T22:00:00-05:00,900,Wh,1272,0
2023-06-02T22:15:00-05:00,900,Wh,1267,0
2023-06-02T22:30:00-05:00,900,Wh,1259,0
2023-06-02T22:45:00-05:00,900,Wh,1210,0
2023-06-02T23:00:00-05:00,900,Wh,323,0
2023-06-02T23:15:00-05:00,900,Wh,340,0
2023-06-02T23:30:00-05:00,900,Wh,306,0
2023-06-02T23:45:00-05:00,900,Wh,304,0
2023-06-03T00:00:00-05:00,900,Wh,1154,0
2023-06-03T00:15:00-05:00,900,Wh,1268,0
2023-06-03T00:30:00-05:00,900,Wh,1192,0
2023-06-03T00:45:00-05:00,900,Wh,554,0
2023-06-03T01:00:00-05:00,900,Wh,253,0
2023-06-03T01:15:00-05:00,900,Wh,258,0
2023-06-03T01:30:00-05:00,900,Wh,245,0
2023-06-03T01:45:00-05:00,900,Wh,262,0
2023-06-03T02:00:00-05:00,900,Wh,300,0
2023-06-03T02:15:00-05:00,900,Wh,677,0
2023-06-03T02:30:00-05:00,900,Wh,1242,0
2023-06-03T02:45:00-05:00,900,Wh,1235,0
2023-06-03T03:00:00-05:00,900,Wh,568,0
2023-06-03T03:15:00-05:00,900,Wh,241,0
2023-06-03T03:30:00-05:00,900,Wh,253,0
2023-06-03T03:45:00-05:00,900,Wh,214,0
2023-06-03T04:00:00-05:00,900,Wh,253,0
2023-06-03T04:15:00-05:00,900,Wh,223,0
2023-06-03T04:30:00-05:00,900,Wh,252,0
2023-06-03T04:45:00-05:00,900,Wh,235,0
2023-06-03T05:00:00-05:00,900,Wh,262,0
2023-06-03T05:15:00-05:00,900,Wh,277,0
2023-06-03T05:30:00-05:00,900,Wh,259,0
2023-06-03T05:45:00-05:00,900,Wh,263,0
2023-06-03T06:00:00-05:00,900,Wh,414,0
2023-06-03T06:15:00-05:00,900,Wh,1192,0
2023-06-03T06:30:00-05:00,900,Wh,1172,0
2023-06-03T06:45:00-05:00,900,Wh,502,0
2023-06-03T07:00:00-05:00,900,Wh,206,0
2023-06-03T07:15:00-05:00,900,Wh,208,0
2023-06-03T07:30:00-05:00,900,Wh,188,0
2023-06-03T07:45:00-05:00,900,Wh,228,0
2023-06-03T08:00:00-05:00,900,Wh,258,0
2023-06-03T08:15:00-05:00,900,Wh,236,0
2023-06-03T08:30:00-05:00,900,Wh,271,0
2023-06-03T08:45:00-05:00,900,Wh,239,0
2023-06-03T09:00:00-05:00,900,Wh,277,0
2023-06-03T09:15:00-05:00,900,Wh,260,0
2023-06-03T09:30:00-05:00,900,Wh,263,0
2023-06-03T09:45:00-05:00,900,Wh,350,0
2023-06-03T10:00:00-05:00,900,Wh,337,0
2023-06-03T10:15:00-05:00,900,Wh,358,0
2023-06-03T10:30:00-05:00,900,Wh,376,0
2023-06-03T10:45:00-05:00,900,Wh,395,0
2023-06-03T11:00:00-05:00,900,Wh,382,0
2023-06-03T11:15:00-05:00,900,Wh,408,0
2023-06-03T11:30:00-05:00,900,Wh,416,0
2023-06-03T11:45:00-05:00,900,Wh,416,0
2023-06-03T12:00:00-05:00,900,Wh,415,0
2023-06-03T12:15:00-05:00,900,Wh,750,0
2023-06-03T12:30:00-05:00,900,Wh,1549,0
2023-06-03T12:45:00-05:00,900,Wh,1033,0
2023-06-03T13:00:00-05:00,900,Wh,536,0
2023-06-03T13:15:00-05:00,900,Wh,1343,0
2023-06-03T13:30:00-05:00,900,Wh,1708,0
2023-06-03T13:45:00-05:00,900,Wh,1385,0
2023-06-03T14:00:00-05:00,900,Wh,1534,0
2023-06-03T14:15:00-05:00,900,Wh,1098,0
2023-06-03T14:30:00-05:00,900,Wh,1147,0
2023-06-03T14:45:00-05:00,900,Wh,1136,0
2023-06-03T15:00:00-05:00,900,Wh,895,0
2023-06-03T15:15:00-05:00,900,Wh,1855,0
2023-06-03T15:30:00-05:00,900,Wh,1800,0
2023-06-03T15:45:00-05:00,900,Wh,1406,0
2023-06-03T16:00:00-05:00,900,Wh,631,0
2023-06-03T16:15:00-05:00,900,Wh,1186,0
2023-06-03T16:30:00-05:00,900,Wh,1670,0
2023-06-03T16:45:00-05:00,900,Wh,848,0
2023-06-03T17:00:00-05:00,900,Wh,545,0
2023-06-03T17:15:00-05:00,900,Wh,546,0
2023-06-03T17:30:00-05:00,900,Wh,544,0
2023-06-03T17:45:00-05:00,900,Wh,510,0
2023-06-03T18:00:00-05:00,900,Wh,490,0
2023-06-03T18:15:00-05:00,900,Wh,475,0
2023-06-03T18:30:00-05:00,900,Wh,473,0
2023-06-03T18:45:00-05:00,900,Wh,479,0
2023-06-03T19:00:00-05:00,900,Wh,470,0
2023-06-03T19:15:00-05:00,900,Wh,1372,0
2023-06-03T19:30:00-05:00,900,Wh,1297,0
2023-06-03T19:45:00-05:00,900,Wh,1351,0
2023-06-03T20:00:00-05:00,900,Wh,1333,0
2023-06-03T20:15:00-05:00,900,Wh,1313,0
2023-06-03T20:30:00-05:00,900,Wh,1310,0
2023-06-03T20:45:00-05:00,900,Wh,1274,0
2023-06-03T21:00:00-05:00,900,Wh,1255,0
2023-06-03T21:15:00-05:00,900,Wh,1249,0
2023-06-03T21:30:00-05:00,900,Wh,1210,0
2023-06-03T21:45:00-05:00,900,Wh,1220,0
2023-06-03T22:00:00-05:00,900,Wh,391,0
2023-06-03T22:15:00-05:00,900,Wh,284,0
2023-06-03T22:30:00-05:00,900,Wh,361,0
2023-06-03T22:45:00-05:00,900,Wh,1225,0
2023-06-03T23:00:00-05:00,900,Wh,1151,0
2023-06-03T23:15:00-05:00,900,Wh,245,0
2023-06-03T23:30:00-05:00,900,Wh,1174,0
2023-06-03T23:45:00-05:00,900,Wh,325,0
2023-06-04T00:00:00-05:00,900,Wh,220,0
2023-06-04T00:15:00-05:00,900,Wh,212,0
2023-06-04T00:30:00-05:00,900,Wh,220,0
2023-06-04T00:45:00-05:00,900,Wh,229,0
2023-06-04T01:00:00-05:00,900,Wh,1201,0
2023-06-04T01:15:00-05:00,900,Wh,535,0
2023-06-04T01:30:00-05:00,900,Wh,254,0
2023-06-04T01:45:00-05:00,900,Wh,236,0
2023-06-04T02:00:00-05:00,900,Wh,744,0
2023-06-04T02:15:00-05:00,900,Wh,1157,0
2023-06-04T02:30:00-05:00,900,Wh,206,0
2023-06-04T02:45:00-05:00,900,Wh,200,0
2023-06-04T03:00:00-05:00,900,Wh,863,0
2023-06-04T03:15:00-05:00,900,Wh,1163,0
2023-06-04T03:30:00-05:00,900,Wh,1160,0
2023-06-04T03:45:00-05:00,900,Wh,1154,0
2023-06-04T04:00:00-05:00,900,Wh,245,0
2023-06-04T04:15:00-05:00,900,Wh,238,0
2023-06-04T04:30:00-05:00,900,Wh,229,0
2023-06-04T04:45:00-05:00,900,Wh,872,0
2023-06-04T05:00:00-05:00,900,Wh,1189,0
2023-06-04T05:15:00-05:00,900,Wh,397,0
2023-06-04T05:30:00-05:00,900,Wh,725,0
2023-06-04T05:45:00-05:00,900,Wh,658,0
2023-06-04T06:00:00-05:00,900,Wh,223,0
2023-06-04T06:15:00-05:00,900,Wh,197,0
2023-06-04T06:30:00-05:00,900,Wh,1030,0
2023-06-04T06:45:00-05:00,900,Wh,326,0
2023-06-04T07:00:00-05:00,900,Wh,233,0
2023-06-04T07:15:00-05:00,900,Wh,223,0
2023-06-04T07:30:00-05:00,900,Wh,241,0
2023-06-04T07:45:00-05:00,900,Wh,271,0
